#
# Optical constants of amorphous carbon ACH2
# from Zubko et al. (1996)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
6.73939971e-05  -1.07716156e-06  2.61144193e-10
6.76909190e-05  -1.08853283e-06  2.66236807e-10
6.79891491e-05  -1.09083694e-06  2.71307082e-10
6.82886931e-05  -1.11417416e-06  2.76577069e-10
6.85895568e-05  -1.12435336e-06  2.81990006e-10
6.88917461e-05  -1.13744278e-06  2.87379200e-10
6.91952667e-05  -1.15780727e-06  2.92921080e-10
6.95001246e-05  -1.18174013e-06  2.98679559e-10
6.98063256e-05  -1.20087759e-06  3.04412780e-10
7.01138756e-05  -1.21278544e-06  3.10240787e-10
7.04227807e-05  -1.21451860e-06  3.16361341e-10
7.07330467e-05  -1.22850953e-06  3.22455048e-10
7.10446797e-05  -1.22945826e-06  3.28580256e-10
7.13576856e-05  -1.22987859e-06  3.35086482e-10
7.16720706e-05  -1.23388568e-06  3.41564168e-10
7.19878407e-05  -1.24183085e-06  3.48013441e-10
7.23050019e-05  -1.24537898e-06  3.54918649e-10
7.26235606e-05  -1.26529525e-06  3.61805774e-10
7.29435227e-05  -1.28317069e-06  3.68662689e-10
7.32648945e-05  -1.28114481e-06  3.75925005e-10
7.35876822e-05  -1.29717399e-06  3.83247025e-10
7.39118920e-05  -1.31887264e-06  3.90536927e-10
7.42375302e-05  -1.32444188e-06  3.98173228e-10
7.45646031e-05  -1.35418548e-06  4.05956079e-10
7.48931169e-05  -1.35104604e-06  4.13704791e-10
7.52230782e-05  -1.36175698e-06  4.21733503e-10
7.55544932e-05  -1.37654939e-06  4.30007014e-10
7.58873683e-05  -1.38187745e-06  4.38244233e-10
7.62217100e-05  -1.38459809e-06  4.46683673e-10
7.65575247e-05  -1.40813464e-06  4.55475107e-10
7.68948189e-05  -1.42220730e-06  4.64227977e-10
7.72335992e-05  -1.42598130e-06  4.73096694e-10
7.75738720e-05  -1.44580610e-06  4.82440578e-10
7.79156440e-05  -1.44943594e-06  4.91743476e-10
7.82589218e-05  -1.47297657e-06  5.01063487e-10
7.86037120e-05  -1.47864021e-06  5.10992791e-10
7.89500212e-05  -1.49159726e-06  5.20878541e-10
7.92978562e-05  -1.49437054e-06  5.30720928e-10
7.96472237e-05  -1.50422589e-06  5.41222768e-10
7.99981304e-05  -1.52157380e-06  5.51729477e-10
8.03505831e-05  -1.52966073e-06  5.62190099e-10
8.07045887e-05  -1.53704599e-06  5.73231170e-10
8.10601539e-05  -1.55775534e-06  5.84397109e-10
8.14172856e-05  -1.58167068e-06  5.95514069e-10
8.17759908e-05  -1.58860620e-06  6.07118855e-10
8.21362763e-05  -1.60645487e-06  6.18981623e-10
8.24981492e-05  -1.63330758e-06  6.30792355e-10
8.28616164e-05  -1.64575056e-06  6.42988576e-10
8.32266850e-05  -1.66223172e-06  6.55594364e-10
8.35933619e-05  -1.66684186e-06  6.68144857e-10
8.39616544e-05  -1.67935225e-06  6.80959704e-10
8.43315694e-05  -1.70200540e-06  6.94346814e-10
8.47031143e-05  -1.71425572e-06  7.07675203e-10
8.50762960e-05  -1.73983293e-06  7.21135418e-10
8.54511219e-05  -1.75170204e-06  7.35360818e-10
8.58275992e-05  -1.75909784e-06  7.49523820e-10
8.62057352e-05  -1.78276565e-06  7.63665614e-10
8.65855371e-05  -1.79563897e-06  7.78778959e-10
8.69670124e-05  -1.80720576e-06  7.93826010e-10
8.73501684e-05  -1.81678165e-06  8.08807058e-10
8.77350124e-05  -1.82342204e-06  8.24734855e-10
8.81215520e-05  -1.83341466e-06  8.40718420e-10
