#
# Optical constants of organic refractory
# from Li & Greenberg (1997)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
1.92380105e-04  -8.36926000e-06  3.23480000e-08
1.95061787e-04  -8.60541000e-06  3.42479000e-08
1.97780840e-04  -8.84825000e-06  3.62578000e-08
2.00537891e-04  -9.09797000e-06  3.83846000e-08
2.03333257e-04  -9.35476000e-06  4.06350000e-08
2.06167591e-04  -9.61881000e-06  4.30147000e-08
2.09041574e-04  -9.89037000e-06  4.55330000e-08
2.11955195e-04  -1.01696000e-05  4.81973000e-08
2.14909882e-04  -1.04568000e-05  5.10153000e-08
2.17905649e-04  -1.07521000e-05  5.39959000e-08
2.20943249e-04  -1.10557000e-05  5.71481000e-08
2.24022664e-04  -1.13680000e-05  6.04818000e-08
2.27145487e-04  -1.16891000e-05  6.40092000e-08
2.30311732e-04  -1.20194000e-05  6.77403000e-08
2.33522245e-04  -1.23590000e-05  7.16850000e-08
2.36777462e-04  -1.27083000e-05  7.58572000e-08
2.40077815e-04  -1.30674000e-05  8.02684000e-08
2.43424690e-04  -1.34368000e-05  8.49336000e-08
2.46817613e-04  -1.38166000e-05  8.98675000e-08
2.50258523e-04  -1.42072000e-05  9.50845000e-08
2.53746932e-04  -1.46090000e-05  1.00601000e-07
2.57283837e-04  -1.50221000e-05  1.06433000e-07
2.60870296e-04  -1.54470000e-05  1.12600000e-07
2.64506865e-04  -1.58839000e-05  1.19120000e-07
2.68193523e-04  -1.63333000e-05  1.26014000e-07
2.71931976e-04  -1.67954000e-05  1.33301000e-07
2.75722842e-04  -1.72706000e-05  1.41005000e-07
2.79566115e-04  -1.77594000e-05  1.49150000e-07
2.83463021e-04  -1.82621000e-05  1.57759000e-07
2.87414864e-04  -1.87790000e-05  1.66859000e-07
2.91420979e-04  -1.93107000e-05  1.76479000e-07
2.95483377e-04  -1.98575000e-05  1.86646000e-07
2.99602059e-04  -2.04199000e-05  1.97393000e-07
3.03778451e-04  -2.09982000e-05  2.08753000e-07
3.08012544e-04  -2.15930000e-05  2.20757000e-07
3.12306616e-04  -2.22047000e-05  2.33432000e-07
3.16659908e-04  -2.28339000e-05  2.46825000e-07
3.21073988e-04  -2.34809000e-05  2.60969000e-07
